,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,seed,best_pred,best_sem
0,0,True,True,True,16.455045812461865,16.64889488723088,10.0,0.13863710740041682,0.26695323359041506,0.42286440477602816,0.3004475515959157,0.04957608089842798,0.6499763675056563,0.521,10,0.521,
1,1,True,True,True,16.666666666666668,6.728757526334319,10.0,0.15041215220915238,0.7449937978087376,0.752669027891768,0.20397876193877346,0.364653761087024,0.4313674769742025,0.5690000000000001,11,0.5690000000000001,
2,2,True,True,False,15.351094107272116,13.203073759252419,10.0,0.8142609953570425,0.24649126252596265,0.7179475381846863,0.07759523806580669,0.23442177858248103,0.6879829833517123,0.513,10,0.513,
3,3,True,True,False,6.733835885922115,9.80302312721809,10.0,0.7859128925949335,0.24311787020415068,0.7405831662937998,0.6324406489729881,0.042534369975328445,0.3250249810516834,0.585,11,0.585,
4,4,True,False,True,8.544024017238346,10.254064058909586,10.0,0.1,0.8282365139972637,0.10000000000000003,0.37745141600551907,1.0,0.6510943621383624,0.538,10,0.538,
5,5,True,False,True,14.159301790377686,12.625416207614762,10.0,0.42449659027094655,1.0,0.2420754327641269,0.24604912267284776,0.8433892174719593,0.0240447573005911,0.47700000000000004,11,0.47700000000000004,
6,6,True,False,False,13.451313064838473,13.266391985318709,10.0,0.6901581001773927,0.33724556333833156,0.4067842189687535,0.15883853537035694,0.3140860296898346,0.4021642980839852,0.546,10,0.546,
7,7,True,False,False,9.925625399348748,3.5317156631501327,10.0,0.5681791927916563,0.44530057988924043,0.4084381242125098,0.0,0.5690370660703057,0.40228640564850926,0.536,11,0.536,
8,8,False,True,True,3.7724748365581036,3.60410350933671,1.438182633370161,0.3403067482635379,0.5369317093864083,0.7073257945477962,0.8691129963845015,0.07107173651456833,0.059815267100930214,0.5670000000000001,10,0.5670000000000001,
9,9,False,True,True,4.968812271952629,4.130939066410065,4.100497912615538,0.3371172337792814,0.6415075285360217,0.8950509397312999,0.3468270879238844,0.4613837404176593,0.19178917165845633,0.555,11,0.555,
10,10,False,True,False,1.0,4.785727608768652,4.394986002702332,0.4940435778954506,0.9980358472152403,0.9988011979839126,2.2075315698724037e-05,0.66046237097786,0.33951555370644126,0.622,10,0.622,
11,11,False,True,False,4.832441797828757,1.561042818295287,3.551996621336284,0.6027210383207214,0.23845528198803545,0.11663101657770986,0.8342348474812813,0.16383010828395697,0.0019350442347617625,0.56,11,0.56,
12,12,False,False,True,4.432901151478291,4.046435508877039,4.232155047357082,0.20566687891259788,0.29275749400258066,0.32441999828442936,0.4023602707311511,0.14308477845042944,0.5611233944073319,0.527,10,0.527,
13,13,False,False,True,2.67668429762125,3.2037246376276016,3.0825181417167187,0.19330993862822654,0.68070720275864,0.8341830760240555,0.689736919477582,0.41617687977850437,0.7394631011411548,0.543,11,0.543,
14,14,False,False,False,4.973677269571687,4.445338337968689,4.9025596578574415,0.10104821345578119,0.21036558296160157,0.1316746971994695,0.262046230038262,7.653430562836041e-05,0.737645980628772,0.502,10,0.502,
15,15,False,False,False,4.670886329287043,1.0136310855094903,4.621376667315693,0.1894474444349089,0.17771476322013324,0.1,0.2895103989880733,0.11873063912770751,0.9924501714885532,0.535,11,0.535,
