,std1,std2,std3,comp1,comp2,mu1,mu3,mu2,comp3,seed,raw_mean,best_pred,best_sem
0,0.6079738938436448,0.8975022405934616,0.6142311845132032,0.19859652919012344,0.8014034708098765,3.3333333333333393,10.0,16.666666666666668,0.0,10,0.727,0.746063404287889,1.745748137258193e-05
1,0.5256145064012652,0.8487300362381386,0.9607927822193929,0.6300157760270816,0.22372053197673705,16.666666666666668,10.0,3.3333333333333344,0.1462636919961814,11,0.786,0.772743204941518,9.392144139286446e-05
2,0.10000006372152921,0.8899863358269532,0.8545510159555435,0.3640055279399599,0.24172389922486864,16.666666666666668,10.0,3.3333341662706477,0.3942705728351714,12,0.752,0.7663404794586408,2.151764549477497e-05
3,0.5211776466844015,0.6909067904170835,0.19037526572586994,0.4863570557983075,0.18461221462983676,13.02040087363502,10.0,3.420756060989115,0.32903072957185575,13,0.6880000000000001,0.7371890050673936,1.4734935792251138e-05
4,0.1000000000006011,0.8319997895721781,1.0,0.3839779935929155,0.25088192161295786,16.666666666666668,10.0,3.333333333333333,0.36514008479412663,14,0.72,0.7581198306586725,3.276980895417168e-05
5,0.11662776003744321,0.9190086015712139,0.3240284812944948,0.6936283386947981,0.30637166130451726,16.666666666653,10.0,3.3333333333425634,6.845635169838715e-13,15,0.662,0.7665301823448564,9.130701037188214e-05
6,0.1,0.8701656910169068,0.7442766010316527,0.3692241527818821,0.20315890417614044,13.825739692957328,10.0,3.333333333333333,0.4276169430419775,16,0.748,0.7557457346176734,1.2486640666346934e-05
7,0.10000000000000012,0.9999999999999992,0.5400544199055292,0.3963468870571896,0.21928004503868714,15.42795842367891,10.0,3.3333333333333357,0.3843730679041233,17,0.762,0.7598251209756388,2.292031852657265e-05
8,0.21890486948513077,0.6461175870362583,0.7347715125627265,0.6906217983965508,0.3093782015536436,15.459656719306851,10.0,3.3333333334436253,4.9805604085406685e-11,18,0.768,0.7620608054753258,4.276370166219706e-05
9,0.647844873212534,0.7298047287919699,0.32588943327442943,0.5033263432324888,0.39017406118857517,16.666666666666668,10.0,4.74580579827631,0.10649959557893607,19,0.705,0.7143129330774779,2.771414502162755e-05
